dataset,feature,space,n_subjects,n_subjects_plot,n_subjects_label,num_classes,mean_hierarchy,std_hierarchy,n_seeds,mean_pval,sem_hierarchy
motor,entropy,State_LDA,10,10.0,10,10,1.2573428023815285,0.05055618960303322,10,0.0,0.015987270896490883
motor,entropy,State_LDA,20,20.0,20,6,1.8257738960261416,0.10998951147174016,10,0.0,0.03478173749799176
motor,entropy,State_LDA,20,20.0,20,10,1.5467835317510767,0.05489217234283314,10,0.0,0.017358429031785378
motor,entropy,State_LDA,all,105.0,all (105),6,2.4951035759429145,0.0,1,0.0,0.0
motor,entropy,State_LDA,all,105.0,all (105),10,2.02973520643696,0.0,1,0.0,0.0
motor,entropy,Trait_LDA,4,4.0,4,6,7.768621686248368,0.45693756840717425,10,0.0,0.14449634646656676
motor,entropy,Trait_LDA,4,4.0,4,10,5.840032624543629,0.22000973920661207,10,0.0,0.06957318833125405
motor,entropy,Trait_LDA,10,10.0,10,6,6.018624609072578,0.5354850314115779,10,0.0,0.16933523521873955
motor,entropy,Trait_LDA,10,10.0,10,10,4.3783893824041895,0.26600390335217916,10,0.0,0.08411782010881848
motor,entropy,Trait_LDA,20,20.0,20,6,5.692626715502071,0.31637949233902773,10,0.0,0.10004798007591202
motor,entropy,Trait_LDA,20,20.0,20,10,4.1603070736291325,0.12828387587095627,10,0.0,0.04056692348265384
motor,entropy,Trait_LDA,all,105.0,all (105),6,5.272712048230414,0.0,1,0.0,0.0
motor,entropy,Trait_LDA,all,105.0,all (105),10,3.870536050343625,0.0,1,0.0,0.0
motor,psd,Joint_LDA,4,4.0,4,6,3.3231564760954475,0.23705290651347408,10,0.0,0.07496271105455424
motor,psd,Joint_LDA,4,4.0,4,10,2.303735847355816,0.11548709938687872,10,0.0,0.03652022744287719
motor,psd,Joint_LDA,10,10.0,10,6,4.574829252930163,0.5953918168800413,10,0.0,0.1882794241566817
motor,psd,Joint_LDA,10,10.0,10,10,2.789687576400623,0.33923700752456715,10,0.0,0.1072761610397311
motor,psd,Joint_LDA,20,20.0,20,6,5.038067221008939,0.25298758978361346,10,0.0,0.08000170034725629
motor,psd,Joint_LDA,20,20.0,20,10,2.855537876682511,0.20868530015470768,10,0.0,0.0659920862684765
motor,psd,Joint_LDA,all,105.0,all (105),6,2.9740649551689216,0.0,1,0.0,0.0
motor,psd,Joint_LDA,all,105.0,all (105),10,2.2951543047641265,0.0,1,0.0,0.0
motor,psd,Raw,4,4.0,4,6,2.612673795829323,0.2776197556137697,10,0.0,0.08779107511988289
motor,psd,Raw,4,4.0,4,10,2.2472132689958007,0.17782780581928026,10,0.0,0.05623408976990705
motor,psd,Raw,10,10.0,10,6,3.218249170815355,0.27770052063639755,10,0.0,0.0878166152625608
motor,psd,Raw,10,10.0,10,10,2.4376118246638034,0.16177995143323298,10,0.0,0.0511593126280438
motor,psd,Raw,20,20.0,20,6,3.643585274239527,0.1994882997003789,10,0.0,0.06308373936074825
motor,psd,Raw,20,20.0,20,10,2.654546828741372,0.10474635639469163,10,0.0,0.03312370628109686
motor,psd,Raw,all,105.0,all (105),6,2.9180232381744755,0.0,1,0.0,0.0
motor,psd,Raw,all,105.0,all (105),10,2.316595259748754,0.0,1,0.0,0.0
motor,psd,State_LDA,4,4.0,4,6,1.08390581130773,0.10782897247761586,10,0.0,0.03409851507848756
motor,psd,State_LDA,4,4.0,4,10,1.1074504453947476,0.05396182960361284,10,0.0,0.017064228825731758
motor,psd,State_LDA,10,10.0,10,6,1.4645629982058264,0.08225737361323938,10,0.0,0.02601206549612708
motor,psd,State_LDA,10,10.0,10,10,1.3464622430459048,0.03969530289089937,10,0.0,0.012552756954550836
motor,psd,State_LDA,20,20.0,20,6,1.7158329252480269,0.18016625729010494,10,0.0,0.056973573054464724
motor,psd,State_LDA,20,20.0,20,10,1.4523897258205836,0.04124433584222166,10,0.0,0.013042604184233952
motor,psd,State_LDA,all,105.0,all (105),6,2.2551417585590645,0.0,1,0.0,0.0
motor,psd,State_LDA,all,105.0,all (105),10,1.7924531075107977,0.0,1,0.0,0.0
motor,psd,Trait_LDA,4,4.0,4,6,6.536826622730109,0.6122241846703278,10,0.0,0.1936022862197778
motor,psd,Trait_LDA,4,4.0,4,10,5.106931237520946,0.36968550611992396,10,0.0,0.11690482172910761
motor,psd,Trait_LDA,10,10.0,10,6,5.119334927699523,0.7809446872126968,10,0.0,0.24695639381998938
motor,psd,Trait_LDA,10,10.0,10,10,3.5883661776377047,0.4136554121652701,10,0.0,0.13080932688979768
motor,psd,Trait_LDA,20,20.0,20,6,4.87675601916512,0.35088365224163365,10,0.0,0.11095915348020086
motor,psd,Trait_LDA,20,20.0,20,10,3.4897613700302563,0.21185227569895215,10,0.0,0.06699357186986288
motor,psd,Trait_LDA,all,105.0,all (105),6,2.963260364184272,0.0,1,0.0,0.0
motor,psd,Trait_LDA,all,105.0,all (105),10,2.405478825199968,0.0,1,0.0,0.0
