Unnamed: 0,space,seed,hier_ratio,hier_pval,dataset,feature,n_subjects,source_file,n_subjects_plot,n_subjects_label,num_classes
20,Raw,5,1.2577390922531115,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
21,Trait_LDA,5,1.7086912433774508,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
22,State_LDA,5,0.6896380918213244,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
23,Joint_LDA,5,1.512669737939517,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
24,Raw,6,0.9991413034304308,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
25,Trait_LDA,6,1.4981278060245438,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
26,State_LDA,6,1.4797895860151349,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
27,Joint_LDA,6,1.5092017846768269,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
28,Raw,7,1.3199353190802423,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
29,Trait_LDA,7,1.6195990410040348,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
